age,d18o
27.6,-44.84
27.6,-44.2
27.65,-44.2
27.65,-44.58
27.7,-44.58
27.7,-44.05
27.75,-44.05
27.75,-44.15
27.8,-44.15
27.8,-44.48
27.85,-44.48
27.85,-43.75
27.9,-43.75
27.9,-44.7
27.95,-44.7
27.95,-43.59
28,-43.59
28,-43.78
28.05,-43.78
28.05,-44.28
28.1,-44.28
28.1,-43.2
28.15,-43.2
28.15,-43.23
28.2,-43.23
28.2,-40.58
28.25,-40.58
28.25,-40.33
28.3,-40.33
28.3,-40.45
28.35,-40.45
28.35,-40.36
28.4,-40.36
28.4,-39.02
28.45,-39.02
28.45,-40.23
28.5,-40.23
28.5,-42.5
28.55,-42.5
28.55,-43.6
28.6,-43.6
28.6,-44.37
28.65,-44.37
28.65,-44.08
28.7,-44.08
28.7,-44.54
28.75,-44.54
28.75,-43.71
28.8,-43.71
28.8,-44.13
28.85,-44.13
28.85,-44.32
28.9,-44.32
28.9,-43.65
28.95,-43.65
28.95,-43.51
29,-43.51
29,-44.14
29.05,-44.14
29.05,-45.07
29.1,-45.07
29.1,-44.35
29.15,-44.35
29.15,-45.82
29.2,-45.82
29.2,-44.57
29.25,-44.57
29.25,-45.22
29.3,-45.22
29.3,-44.39
29.35,-44.39
29.35,-44.15
29.4,-44.15
29.4,-44.31
29.45,-44.31
29.45,-44.51
29.5,-44.51
29.5,-44.06
29.55,-44.06
29.55,-43.98
29.6,-43.98
29.6,-44.83
29.65,-44.83
29.65,-44.47
29.7,-44.47
29.7,-45.11
29.75,-45.11
29.75,-44.22
29.8,-44.22
29.8,-44.37
29.85,-44.37
29.85,-45.09
29.9,-45.09
29.9,-43.74
29.95,-43.74
29.95,-44.04
30,-44.04
30,-44.88
30.05,-44.88
30.05,-43.76
30.1,-43.76
30.1,-43.35
30.15,-43.35
30.15,-43.83
30.2,-43.83
30.2,-42.23
30.25,-42.23
30.25,-42.37
30.3,-42.37
30.3,-43
30.35,-43
30.35,-43.85
30.4,-43.85
30.4,-43.12
30.45,-43.12
30.45,-43.65
30.5,-43.65
30.5,-44.24
30.55,-44.24
30.55,-44.21
30.6,-44.21
30.6,-43.66
30.65,-43.66
30.65,-43.89
30.7,-43.89
30.7,-43.58
30.75,-43.58
30.75,-43.28
30.8,-43.28
30.8,-44.29
30.85,-44.29
30.85,-44.13
30.9,-44.13
30.9,-43.22
30.95,-43.22
30.95,-43.74
31,-43.74
31,-44.21
31.05,-44.21
31.05,-43.46
31.1,-43.46
31.1,-43.08
31.15,-43.08
31.15,-44.4
31.2,-44.4
31.2,-43.69
31.25,-43.69
31.25,-44.02
31.3,-44.02
31.3,-43.95
31.35,-43.95
31.35,-43.09
31.4,-43.09
31.4,-43.68
31.45,-43.68
31.45,-43.39
31.5,-43.39
31.5,-44.07
31.55,-44.07
31.55,-43.65
31.6,-43.65
31.6,-43.96
31.65,-43.96
31.65,-43.4
31.7,-43.4
31.7,-43.57
31.75,-43.57
31.75,-41.55
31.8,-41.55
31.8,-41.7
31.85,-41.7
31.85,-40.61
31.9,-40.61
31.9,-40.3
31.95,-40.3
31.95,-40.43
32,-40.43
32,-40.4
32.05,-40.4
32.05,-39.94
32.1,-39.94
32.1,-39.88
32.15,-39.88
32.15,-38.92
32.2,-38.92
32.2,-42.28
32.25,-42.28
32.25,-43.91
32.3,-43.91
32.3,-43.81
32.35,-43.81
32.35,-44.18
32.4,-44.18
32.4,-44.26
32.45,-44.26
32.45,-43.77
32.5,-43.77
32.5,-44.17
32.55,-44.17
32.55,-44.69
32.6,-44.69
32.6,-45.14
32.65,-45.14
32.65,-43.84
32.7,-43.84
32.7,-42.97
32.75,-42.97
32.75,-43.48
32.8,-43.48
32.8,-43.68
32.85,-43.68
32.85,-43.81
32.9,-43.81
32.9,-43.26
32.95,-43.26
32.95,-43.21
33,-43.21
33,-43.56
33.05,-43.56
33.05,-44.19
33.1,-44.19
33.1,-43.14
33.15,-43.14
33.15,-41.1
33.2,-41.1
33.2,-40.38
33.25,-40.38
33.25,-39.92
33.3,-39.92
33.3,-39.66
33.35,-39.66
33.35,-39.82
33.4,-39.82
33.4,-39.78
33.45,-39.78
33.45,-39.03
33.5,-39.03
33.5,-41.04
33.55,-41.04
33.55,-41.91
33.6,-41.91
33.6,-42.7
33.65,-42.7
33.65,-42.73
33.7,-42.73
33.7,-43.26
33.75,-43.26
33.75,-43.32
33.8,-43.32
33.8,-42.49
33.85,-42.49
33.85,-42.92
33.9,-42.92
33.9,-42.72
33.95,-42.72
33.95,-42.85
34,-42.85
34,-42.59
34.05,-42.59
34.05,-43.38
34.1,-43.38
34.1,-43.09
34.15,-43.09
34.15,-42.81
34.2,-42.81
34.2,-42.61
34.25,-42.61
